BIDS,CPPR,ContDays,LEN,LANE,WeatherDelayDays,CPI,ContSpend,PLR,PPI,ContAmnt,Client
4,58,175,7.23,4,16,184.682,1147951,5.02,166.8,3275404.14,Client 2
3,71,180,3.35,1,12,184.682,1147951,5.02,166.8,5482979.55,Client 2
2,79,190,6.84,2,9,184.682,1147951,5.02,166.8,3564447.92,Client 2
3,83,280,12.69,1,29,184.682,1147951,5.02,166.8,4989000.0,Client 2
1,85,350,2.9,1,16,184.682,1147951,5.02,166.8,10588800.65,Client 2
2,89,150,1.95,6,14,184.682,1147951,5.02,166.8,2589999.0,Client 2
3,90,120,4.04,3,17,184.682,1147951,5.02,166.8,7014581.0,Client 2
2,93,80,1.92,5,11,184.682,1147951,5.02,166.8,2174994.19,Client 2
4,96,90,2.57,2,16,184.682,1147951,5.02,166.8,1686429.27,Client 2
3,96,180,1.55,6,23,184.682,1147951,5.02,166.8,5223787.09,Client 2
2,98,145,2.03,6,29,184.682,1147951,5.02,166.8,5980614.0,Client 2
2,98,120,1.27,4,7,184.682,1147951,5.02,166.8,2607381.1,Client 2
2,100,250,1.15,4,10,184.682,1147951,5.02,166.8,10149000.0,Client 2
3,102,150,1.49,4,6,184.682,1147951,5.02,166.8,2230743.41,Client 2
4,102,70,1.33,3,2,184.682,1147951,5.02,166.8,1481410.0,Client 2
2,104,120,3.0,6,9,184.682,1147951,5.02,166.8,3923074.92,Client 2
5,90,175,5.22,2,27,195.549,1077350,1.92,184.8,3321948.24,Client 2
3,91,210,2.9,4,49,195.549,1077350,1.92,184.8,4593255.14,Client 2
4,92,180,1.3,2,20,195.549,1077350,1.92,184.8,3360682.02,Client 2
3,94,70,2.82,6,10,195.549,1077350,1.92,184.8,1492370.53,Client 2
3,96,150,3.28,4,44,195.549,1077350,1.92,184.8,2298028.1,Client 2
2,96,175,0.91,2,50,195.549,1077350,1.92,184.8,5244604.07,Client 2
1,96,170,2.57,4,14,195.549,1077350,1.92,184.8,2478000.0,Client 2
1,98,120,1.13,4,6,195.549,1077350,1.92,184.8,3481892.24,Client 2
2,99,150,1.36,4,5,195.549,1077350,1.92,184.8,2238899.8,Client 2
2,102,140,12.55,4,37,195.549,1077350,1.92,184.8,5572062.44,Client 2
3,104,180,2.72,2,10,195.549,1077350,1.92,184.8,3523685.05,Client 2
4,105,60,2.36,4,1,195.549,1077350,1.92,184.8,1211612.65,Client 2
5,83,210,1.1,6,53,179.252,906543,0.16,195.5,3906445.05,Client 2
3,89,150,2.0,1,46,179.252,906543,0.16,195.5,3573370.19,Client 2
3,90,180,2.84,2,10,179.252,906543,0.16,195.5,2726258.0,Client 2
2,92,60,0.82,4,19,179.252,906543,0.16,195.5,983000.0,Client 2
3,93,270,3.03,1,37,179.252,906543,0.16,195.5,5781659.92,Client 2
5,94,180,3.68,6,26,179.252,906543,0.16,195.5,2639791.32,Client 2
2,94,90,6.55,4,7,179.252,906543,0.16,195.5,1091000.0,Client 2
4,94,280,1.14,1,60,179.252,906543,0.16,195.5,5269727.25,Client 2
3,94,170,1.64,1,8,179.252,906543,0.16,195.5,2839000.0,Client 2
2,96,50,0.63,4,13,179.252,906543,0.16,195.5,389209.0,Client 2
4,96,100,4.19,4,2,179.252,906543,0.16,195.5,1078899.0,Client 2
2,96,90,0.9,2,13,179.252,906543,0.16,195.5,693000.0,Client 2
5,96,150,3.17,4,6,179.252,906543,0.16,195.5,633940.0,Client 2
2,96,180,0.98,3,42,179.252,906543,0.16,195.5,4869750.0,Client 2
4,96,250,2.76,6,28,179.252,906543,0.16,195.5,7265411.53,Client 2
2,96,180,1.35,3,42,179.252,906543,0.16,195.5,2736839.68,Client 2
3,97,180,0.55,2,30,179.252,906543,0.16,195.5,5046000.0,Client 2
1,97,45,3.3,1,1,179.252,906543,0.16,195.5,793133.0,Client 2
3,98,65,4.22,2,13,179.252,906543,0.16,195.5,536873.71,Client 2
3,98,125,6.8,4,9,179.252,906543,0.16,195.5,1557971.31,Client 2
2,98,200,0.99,4,1,179.252,906543,0.16,195.5,3955441.7,Client 2
5,98,180,2.34,4,15,179.252,906543,0.16,195.5,3025866.36,Client 2
4,98,120,0.98,2,6,179.252,906543,0.16,195.5,1350240.91,Client 2
2,98,60,3.01,2,25,179.252,906543,0.16,195.5,690342.8,Client 2
3,99,180,1.87,2,23,179.252,906543,0.16,195.5,2531845.02,Client 2
4,100,60,2.31,1,1,179.252,906543,0.16,195.5,259248.0,Client 2
3,100,60,3.77,2,7,179.252,906543,0.16,195.5,839720.0,Client 2
3,101,120,2.33,4,2,179.252,906543,0.16,195.5,486603.3,Client 2
14,102,180,0.3,1,20,179.252,906543,0.16,195.5,572802.23,Client 2
10,102,585,4.49,6,31,179.252,906543,0.16,195.5,3280000.0,Client 2
4,103,60,0.5,1,2,179.252,906543,0.16,195.5,454745.0,Client 2
5,103,220,2.96,4,4,179.252,906543,0.16,195.5,936007.37,Client 2
4,78,240,3.64,3,14,212.366,788332,0.1,205.3,5393960.68,Client 2
3,89,150,2.74,2,10,212.366,788332,0.1,205.3,4205548.56,Client 2
4,90,90,0.08,2,10,212.366,788332,0.1,205.3,911000.0,Client 2
4,91,210,10.41,4,15,212.366,788332,0.1,205.3,2151320.52,Client 2
3,91,120,3.36,1,24,212.366,788332,0.1,205.3,1967290.62,Client 2
4,92,100,0.04,1,6,212.366,788332,0.1,205.3,1503953.65,Client 2
2,93,120,14.2,2,9,212.366,788332,0.1,205.3,1147916.75,Client 2
3,95,90,11.7,1,18,212.366,788332,0.1,205.3,1759203.94,Client 2
6,95,120,0.05,2,18,212.366,788332,0.1,205.3,1731113.89,Client 2
