BIDS,CPPR,ContDays,LEN,LANE,WDays,CPI,ContSpend,PLR,PPI,ContAmnt
3,104,135,5.0,2,7,195.55,1077350,1.92,184.8,4302390.0
5,102,120,15.5,0,26,212.37,788332,0.1,205.3,2180576.5
5,88,260,1.55,5,20,179.25,906543,0.16,195.5,4307575.66
4,98,105,1.26,6,4,193.4,809256,0.18,222.4,1148462.38
5,108,98,7.82,6,3,179.25,906543,0.16,195.5,2076079.0
2,98,100,1.33,3,12,180.9,1161282,4.97,148.2,2018905.6
1,96,185,2.55,2,56,163.1,991356,1.35,133.7,2078500.0
5,98,120,4.99,2,38,179.25,906543,0.16,195.5,1354174.0
4,83,125,1.33,0,26,163.1,991356,1.35,133.7,1727202.06
4,100,390,0.6,0,119,157.6,891497,1.13,137.0,2278124.06
4,97,264,2.64,3,91,212.37,788332,0.1,205.3,4646325.17
4,104,95,1.84,0,1,195.55,1077350,1.92,184.8,1043078.27
6,100,289,3.01,0,29,193.4,809256,0.18,222.4,1738074.89
8,93,110,2.02,0,16,195.55,1077350,1.92,184.8,2085085.85
4,94,90,9.9,4,1,193.4,809256,0.18,222.4,1458385.82
5,98,165,0.93,6,9,212.37,788332,0.1,205.3,1230252.38
2,85,135,1.7,4,15,173.9,1116811,3.22,136.6,3351295.0
2,91,210,1.74,6,16,173.9,1116811,3.22,136.6,2971212.0
4,98,215,2.06,0,38,212.37,788332,0.1,205.3,1864219.32
4,96,75,9.57,6,11,173.9,1116811,3.22,136.6,1329861.44
4,104,240,0.28,6,5,180.9,1161282,4.97,148.2,4373202.08
3,84,150,4.61,2,47,163.1,991356,1.35,133.7,2773486.99
4,96,100,4.19,4,2,179.25,906543,0.16,195.5,1078899.0
5,98,142,2.31,0,3,179.25,906543,0.16,195.5,1323324.47
7,98,139,1.36,0,7,193.4,809256,0.18,222.4,3297092.71
2,98,215,0.97,0,4,180.9,1161282,4.97,148.2,4730549.15
5,102,165,1.23,2,16,212.37,788332,0.1,205.3,1724000.0
2,96,145,2.21,2,12,173.9,1116811,3.22,136.6,2427000.0
6,100,345,2.11,3,29,212.37,788332,0.1,205.3,3998210.74
2,96,110,0.06,4,5,180.9,1161282,4.97,148.2,2113000.0
3,98,90,7.67,0,11,195.55,1077350,1.92,184.8,1589054.05
2,98,260,7.41,2,37,179.25,906543,0.16,195.5,4128747.7
4,98,130,0.04,4,14,195.55,1077350,1.92,184.8,1654910.8
4,96,210,3.25,0,38,179.25,906543,0.16,195.5,4924444.44
6,80,257,0.19,3,48,212.37,788332,0.1,205.3,1716445.18
7,98,100,5.28,2,8,179.25,906543,0.16,195.5,1484444.44
4,98,105,2.94,0,10,195.55,1077350,1.92,184.8,3144681.0
4,91,210,10.41,4,15,212.37,788332,0.1,205.3,2151320.52
5,98,170,9.51,6,14,173.9,1116811,3.22,136.6,2933938.43
3,96,119,7.27,0,118,173.9,1116811,3.22,136.6,2094000.0
5,100,443,1.68,3,44,212.37,788332,0.1,205.3,3929493.36
5,108,347,0.1,0,18,180.9,1161282,4.97,148.2,2770848.4
1,102,330,15.6,2,96,212.37,788332,0.1,205.3,4780000.0
2,81,110,2.63,2,14,163.1,991356,1.35,133.7,1564000.0
5,97,170,4.98,0,40,212.37,788332,0.1,205.3,3077847.53
6,98,203,2.03,0,16,179.25,906543,0.16,195.5,2224741.65
5,104,285,11.67,0,4,193.4,809256,0.18,222.4,4012024.06
3,98,200,11.1,2,13,212.37,788332,0.1,205.3,1583692.32
2,96,90,5.02,0,3,180.9,1161282,4.97,148.2,2973331.79
5,92,225,2.23,0,19,212.37,788332,0.1,205.3,2933583.78
7,98,170,0.14,0,16,184.68,1147951,5.02,166.8,1841385.12
7,105,300,1.31,4,15,184.68,1147951,5.02,166.8,4046488.18
5,98,150,7.01,4,45,195.55,1077350,1.92,184.8,2927419.09
3,100,300,8.75,4,16,179.25,906543,0.16,195.5,4955834.22
10,92,260,0.45,0,31,195.55,1077350,1.92,184.8,4046164.55
7,90,326,0.7,0,46,179.25,906543,0.16,195.5,4538270.65
8,102,290,1.9,0,46,193.4,809256,0.18,222.4,3180874.41
4,96,150,0.41,2,4,212.37,788332,0.1,205.3,2454825.43
4,105,60,2.36,4,1,195.55,1077350,1.92,184.8,1211612.65
