scenario,round,strategy,lr,local_epochs,test_mape,test_rmse,test_mae,test_mpe,test_nrmse,test_r2,val_mape,val_rmse,val_mae,val_r2,seed
B_FedAvg,6,size_only,0.0005,20,0.99683917,3577472.8,2932702.2,-0.99683917,0.4013136,-2.011610746383667,0.996743,3891709.8,2971869.5,-1.3799371719360352,42
B_FedAvg,7,size_only,0.0005,20,0.994464,3565527.5,2923570.2,-0.994464,0.3999736,-1.991532564163208,0.9938905,3880492.2,2962327.2,-1.366236925125122,42
B_FedAvg,8,size_only,0.0005,20,0.9910707,3548200.8,2910458.2,-0.9910707,0.39802992,-1.9625287055969238,0.9898233,3861985.8,2947766.0,-1.3437209129333496,42
B_FedAvg,9,size_only,0.0005,20,0.9844167,3517070.8,2886662.8,-0.9844167,0.39453784,-1.910773515701294,0.98142636,3827835.2,2919308.5,-1.3024547100067139,42
B_FedAvg,10,size_only,0.0005,20,0.9753606,3479446.5,2857390.8,-0.9753606,0.3903172,-1.848829984664917,0.9716863,3786003.0,2886104.0,-1.2524049282073975,42
B_FedAvg,11,size_only,0.0005,20,0.9582237,3417741.8,2807667.5,-0.9582237,0.3833953,-1.748682975769043,0.9569205,3722469.8,2835773.2,-1.1774439811706543,42
B_FedAvg,12,size_only,0.0005,20,0.9380617,3346754.0,2748107.0,-0.9380617,0.37543204,-1.6356863975524902,0.9389684,3646531.0,2774835.0,-1.0895097255706787,42
B_FedAvg,13,size_only,0.0005,20,0.9075592,3245941.5,2661340.5,-0.9075592,0.3641231,-1.4792914390563965,0.91107506,3557393.5,2693513.8,-0.9886044263839722,42
B_FedAvg,14,size_only,0.0005,20,0.87132245,3113903.8,2548087.8,-0.87132245,0.34931138,-1.2816896438598633,0.87241185,3424202.5,2577585.5,-0.8424828052520752,42
B_FedAvg,15,size_only,0.0005,20,0.8141674,2965355.8,2401373.2,-0.8105485,0.33264756,-1.0691871643066406,0.8137846,3291781.5,2439529.0,-0.702733039855957,42
B_FedAvg,16,size_only,0.0005,20,0.7531388,2784732.8,2234199.0,-0.7523863,0.31238565,-0.8247913122177124,0.74769783,3122057.5,2281454.0,-0.5316741466522217,42
B_FedAvg,17,size_only,0.0005,20,0.6627261,2560327.8,2006731.4,-0.6627261,0.28721234,-0.5425430536270142,0.6520373,2905729.0,2063646.1,-0.32676756381988525,42
B_FedAvg,18,size_only,0.0005,20,0.55671406,2268721.8,1701464.9,-0.5183696,0.25450057,-0.21117985248565674,0.5368607,2620379.8,1764100.9,-0.07897913455963135,42
B_FedAvg,19,size_only,0.0005,20,0.45818284,1941036.9,1416255.0,-0.35423955,0.21774156,0.11342853307723999,0.42440194,2330100.5,1470332.5,0.14683324098587036,42
B_FedAvg,20,size_only,0.0005,20,0.40600252,1651714.4,1156864.6,-0.1558582,0.18528596,0.35802799463272095,0.4186987,2073308.9,1303612.0,0.3245198726654053,42
B_FedAvg,21,size_only,0.0005,20,0.45032814,1490081.4,1068602.9,0.015664605,0.1671543,0.4775242209434509,0.4261841,1958696.6,1223871.8,0.3971365690231323,42
B_FedAvg,22,size_only,0.0005,20,0.43296844,1478654.9,1043385.7,0.045089796,0.16587248,0.4855065941810608,0.4308261,1935004.6,1205407.5,0.41163259744644165,42
B_FedAvg,23,size_only,0.0005,20,0.4695251,1437711.2,1041662.75,0.08603845,0.16127951,0.5136045217514038,0.42443326,1909990.8,1188336.5,0.4267459511756897,42
B_FedAvg,24,size_only,0.0005,20,0.47899067,1422170.8,1042566.6,0.10563428,0.15953621,0.5240627229213715,0.4195354,1894099.2,1177252.5,0.4362454414367676,42
B_FedAvg,25,size_only,0.0005,20,0.4664311,1454969.5,1044153.6,0.10101702,0.16321552,0.5018571019172668,0.42708853,1921854.0,1184414.6,0.419602632522583,42
B_FedAvg,26,size_only,0.0005,20,0.44867405,1433559.8,1017023.2,0.09108913,0.16081381,0.5164094865322113,0.4119372,1891144.1,1151520.9,0.4380032420158386,42
B_FedAvg,27,size_only,0.0005,20,0.44912642,1436472.4,1016063.7,0.09710227,0.16114055,0.5144424438476562,0.4075482,1842137.8,1128439.9,0.4667525291442871,42
B_FedAvg,28,size_only,0.0005,20,0.44008073,1425179.5,1003135.7,0.09065905,0.15987372,0.5220468640327454,0.40410095,1875122.0,1142387.6,0.4474855661392212,42
B_FedAvg,29,size_only,0.0005,20,0.45253643,1417605.6,1006161.94,0.109540105,0.1590241,0.5271133184432983,0.40247825,1834130.2,1121113.0,0.4713783860206604,42
B_FedAvg,30,size_only,0.0005,20,0.4781141,1416182.0,1017591.75,0.13004932,0.15886441,0.528062641620636,0.40028787,1869360.8,1118001.1,0.450875461101532,42
B_FedAvg,31,size_only,0.0005,20,0.479404,1427713.6,1022341.25,0.12604955,0.16015801,0.5203455984592438,0.39995456,1868591.8,1126264.8,0.4513271450996399,42
B_FedAvg,32,size_only,0.0005,20,0.4815268,1423332.1,1009016.56,0.13692918,0.1596665,0.5232851505279541,0.4003778,1833890.5,1100397.8,0.471516489982605,42
B_FedAvg,33,size_only,0.0005,20,0.46657425,1385373.0,980548.3,0.13941163,0.15540832,0.5483733117580414,0.39648813,1862749.6,1107899.0,0.45475268363952637,42
B_FedAvg,34,size_only,0.0005,20,0.47708845,1407990.8,997582.4,0.13580918,0.15794553,0.5335062742233276,0.4009449,1889549.0,1121014.5,0.4389508366584778,42
